Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1000149,110043805433,Taconite Harbor Energy Center,SCHROEDER,MN,55613,8124 West Highway 61,,Cook,47.5824036,-90.9704579,221112,"C,D",330.75
1001383,110005972224,Tait Electric Generating Station,DAYTON,OH,45439,2101 ARBOR BOULEVARD,,Montgomery,39.72726,-84.20913,221112,D,17.43
1005807,110012174565,Talbot Energy Facility,BOX SPRINGS,GA,31801,9125 CARTLEDGE RD,,Talbot,32.579514,-84.683188,221112,"C,D",76.65
1006084,110043783028,"Tall Corn Ethanol,LLC d/b/a Poet Biorefining-Coon Rapids",COON RAPIDS,IA,50058,1015 GRANT AVENUE (EAST ON HIGHWAY 141),,Carroll,41.8639461,-94.6863782,325193,C,27.09
1004876,110043797139,Tangerine Landfill,Marana,AZ,85658,10220 W. Tangerine Road,,PIMA,32.5395536,-111.1414226,562212,HH,59868.48
1004611,110043803275,Tanguisson Power Plant,Dededo,GU,96929,NCS,,,13.54744,144.832596,221112,C,159.18
1001532,110043811596,Tanners Creek,LAWRENCEBURG,IN,47025,800 AEP DRIVE,,Dearborn,39.1460289,-84.8776392,221112,D,8836.8
1004620,110043805442,Targa Downstream LLC - Lake Charles LPG Fractionator,Sulphur,LA,70665,1399 Davison Rd,,Calcasieu,30.1617762,-93.3792057,211112,"C,NN",19.53
1004048,110043787355,Targa Midstream Services LLC - Barracuda Gas Processing Plant,Cameron,LA,70631,5466 Gulf Beach Hwy,,Cameron,29.8782919,-93.6217802,211112,C,14.7
1003764,110043805460,Targa Midstream Services LLC - Chico Gas Plant,Chico,TX,76431,383 County Road 1745,,Wise,33.3023727,-97.8503951,211112,"C,NN",40.53
1007441,110043787364,Targa Midstream Services LLC - Eunice Gas Processing Plant,Eunice,NM,88231,32.426150 lat; -103148564 long,,Lea,32.433267,-103.1279039,211112,C,58.38
1003750,110043797148,Targa Midstream Services LLC - Gillis Gas Plant,Lake Charles,LA,70615,3807 Luke Powers Rd,,Calcasieu,30.248701,-93.1277854,211112,"C,NN",9.24
1007234,110043797157,Targa Midstream Services LLC - L&H Compressor Station,Crane,TX,79731,31.51072849880 lat; -102.65126369000 long,,Crane,31.4093115,-102.4151335,211111,C,11.34
1007352,110043800571,Targa Midstream Services LLC - Lowry Gas Processing Plant,Lowry,LA,70549,810 Lowry Hwy,,Jefferson Davis,30.0591434,-92.8377656,211112,C,21.21
1003347,110043808519,Targa Midstream Services LLC - Mertzon Gas Processing Plant,Mertzon,TX,76941,"7 miles SW of Mertzon on State Hwy 67 (31°11'3"" lat; 100°54'28"" long)",,Irion,31.2557696,-100.8903099,211112,C,12.6
1004893,110043812899,Targa Midstream Services LLC - Monument Gas Processing Plant,Monument,NM,84265,8201 W Hwy 322,,Lea,32.6240696,-103.2650604,211112,C,21
1004842,110043787364,Targa Midstream Services LLC - North Eunice Compressor Station,Eunice,NM,88231,32.45066552 lat; -103.1920411 long,,Lea,32.433267,-103.1279039,211112,C,11.97
1003767,110043803293,Targa Midstream Services LLC - Sandhills Gas Plant,Crane,TX,79731,5880 FM 1233,,Crane,31.4093115,-102.4151335,211112,"C,PP",37.17
1004843,110043796443,Targa Midstream Services LLC - Saunders Gas Processing Plant,Lovington,NM,88260,50 Warren Rd,,Lea,32.9753361,-103.4511768,211112,C,23.31
1003765,110043805479,Targa Midstream Services LLC - Sitz Compressor Station,Decatur,TX,76431,33.30305276 lat; -97.40378839 long,,Wise,33.3023727,-97.8503951,211112,C,10.71
1003346,110043805488,Targa Midstream Services LLC - Sterling Gas Processing Plant,Sterling,TX,76951,14206 US Highway 87 N,,Sterling,31.781493,-101.0711758,211112,C,10.92
1004841,110043805451,Targa Midstream Services LLC - Stingray Gas Plant,Johnsons Bayou,LA,70631,5022 Gulf Beach Hwy,,Cameron,29.8782919,-93.6217802,211112,C,25.41
